,Pseudocode,Description,Label
10,"if n is 1 return true
if n assign to 3 return true
if n modulo 2 is 0 n modulo 3 is 0, return false
return false if n modulo i is 0 or n modulo ( i + 2 ) is 0
return true
print Yes
else print No
declare integer main ( ) and integer N assign to 3
checkExpression ( N )
return 0
","Check if the remainder of N 
 C ++ implementation to check the following expression untill an integer N is valid or not ; Function to check if a number holds the condition ( N - 1 ) ! % N assign to N - 1 ; Corner cases ; Number divisible by 2 or 3 are not prime ; Iterate from 5 and keep checking untill prime ; Function to check the expression untill the value N ; Driver Program
",1
11,"if n is 1 return true
if n assign to 3 return true
if n modulo 2 is 0 n modulo 3 is 0, return false
return false if n modulo i is 0 or n modulo ( i + 2 ) is 0
return true
print Yes
else print No
declare integer main ( ) and integer N assign to 3
checkExpression ( N )
return 0
","Count occurrences of a character in a repeated string 
 CPP program to find the occurrences of character x in the infinite repeated string upto length n ; Function to count the character ' a ' ; atleast k repetition are required ; if n is not the multiple of the string size check untill the remaining repeating character . ; Driver code
",0
12,"declare checkArray with integers n, k, arr, with arr assign to 0 and cnt assign to 0
untill i assign to 0 to n exclusive, increment cnt by 1
if cnt >assign to k and cnt % 2 assign to k % 2, return true
else return false
declare integer main ( ) and integer arr array of   assign to  1, 3, 4, 7, 5, 3, 1  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create integer k with k assign to 4
if checkArray ( n, k, arr ) ) print Yes
else print No
return 0
","Check if it is possible to split given Array into K odd 
 C ++ implementation to check if it is possible to split array into K subsets with odd sum ; Function to check if array can be split in required K subsets ; Store count of odd numbers ; Check if element is odd ; Check if split is possible ; Driver Program
",1
13,"declare checkArray with integers n, k, arr, with arr assign to 0 and cnt assign to 0
untill i assign to 0 to n exclusive, increment cnt by 1
if cnt >assign to k and cnt % 2 assign to k % 2, return true
else return false
declare integer main ( ) and integer arr array of   assign to  1, 3, 4, 7, 5, 3, 1  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create integer k with k assign to 4
if checkArray ( n, k, arr ) ) print Yes
else print No
return 0
","String containing first letter of every word in a given string with spaces 
 C ++ program to find the string which contain the first character of each word of another string . ; Function to find string which has first character of each word . ; Traverse the string . ; If it is space , set v as true . ; Else check if v is true or not . If true , copy character in output string and set v as false . ; Driver cpde
",0
14,"declare integer func ( integer arr array of  , integer n )  double ans assign to 0
create integer maxx with maxx assign to 0
create double freq array of 100005  assign to  0  ;
create integer temp
untill i assign to 0 to n exclusive, temp assign to arr array of i  
increment freq array of temp 
set maxx to max ( maxx, temp )
untill i assign to 1 to maxx inclusive, increment freq array of i   by freq array of i - 1  
untill i assign to 1 to maxx inclusive, if freq array of i   )  i assign to double i
create double j
set value to 0
cur assign to double with cur assign to ceil ( 0.5 * i ) - 1.0
untill j assign to 1.5 to j, val assign to min ( maxx, ( int ) ( ceil ( i * j ) - 1.0 ) )
create integers times, con with times assign to ( freq array of i   - freq array of i - 1   ) and con assign to j - 0.5
increment ans by times * con * ( freq array of ( int ) val   - freq array of ( int ) cur   )
set cur to val
if val is maxx, break loop
return ( ll ) ans
declare integer main ( ), integer arr array of   assign to  1, 2, 3  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
print func ( arr, n ) and a new line
return 0
","Sum of division of the possible pairs untill the given Array 
 C ++ implementation to compute the sum of division of all the possible pairs untill the given array ; Function to compute the sum ; counting frequency of each term and finding maximum among it ; Making cumulative frequency ; Taking the ceil value ; nos . in array of ( n - 0.5 ) X , ( n + 0.5 ) X ) range will add n to the ans ; Return the final result ; Driver code
",1
15,"declare integer func ( integer arr array of  , integer n )  double ans assign to 0
create integer maxx with maxx assign to 0
create double freq array of 100005  assign to  0  ;
create integer temp
untill i assign to 0 to n exclusive, temp assign to arr array of i  
increment freq array of temp 
set maxx to max ( maxx, temp )
untill i assign to 1 to maxx inclusive, increment freq array of i   by freq array of i - 1  
untill i assign to 1 to maxx inclusive, if freq array of i   )  i assign to double i
create double j
set value to 0
cur assign to double with cur assign to ceil ( 0.5 * i ) - 1.0
untill j assign to 1.5 to j, val assign to min ( maxx, ( int ) ( ceil ( i * j ) - 1.0 ) )
create integers times, con with times assign to ( freq array of i   - freq array of i - 1   ) and con assign to j - 0.5
increment ans by times * con * ( freq array of ( int ) val   - freq array of ( int ) cur   )
set cur to val
if val is maxx, break loop
return ( ll ) ans
declare integer main ( ), integer arr array of   assign to  1, 2, 3  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
print func ( arr, n ) and a new line
return 0
","Cutting a Rod 
 DP 
 A Naive recursive solution untill Rod cutting problem ; A utility function to get the maximum of two integers ; Returns the best obtainable price untill a rod of length n and price array of   as prices of different pieces ; Recursively cut the rod in different pieces and compare different configurations ; Driver program to test above functions
",0
16,"declare insert_element with integers a array of   and n, set Xor to 0
Sum assign to integer with Sum assign to 0
untill i assign to 0 to n exclusive, Xor assign to a array of i  
add a array of i   to Sum
if Sum is 2 * Xor print ""0"" print newline
return
if Xor is 0, print ""1"" print newline
print Sum
return
num1 assign to integer with num1 assign to Sum + Xor
create integer num2 with num2 assign to Xor
print ""2""
print num1, "" "", num2 and a new line
declare integer main ( ), integer a assign to  1, 2, 3  ; declare integer array a size   assign to  1, 2, 3
create integer n with n assign to sizeof ( a ) / sizeof ( a array of 0   )
insert_element ( a, n )
","Count of elements to be inserted to make Array sum twice the XOR of Array 
 C ++ program to find the count of elements to be inserted to make Array sum twice the XOR of Array ; Function to find the minimum number of elements that need to be inserted such that the sum of the elements of the array is twice the XOR of the array ; Variable to store the Xor of all the elements ; Variable to store the sum of all elements ; Loop to find the Xor and the sum of the array ; If sum assign to 2 * Xor ; No need to insert more elements ; We insert one more element which is Sum ; We insert two more elements Sum + Xor and Xor . ; Print the number of elements inserted in the array ; Print the elements that are inserted in the array ; Driver code
",1
17,"declare insert_element with integers a array of   and n, set Xor to 0
Sum assign to integer with Sum assign to 0
untill i assign to 0 to n exclusive, Xor assign to a array of i  
add a array of i   to Sum
if Sum is 2 * Xor print ""0"" print newline
return
if Xor is 0, print ""1"" print newline
print Sum
return
num1 assign to integer with num1 assign to Sum + Xor
create integer num2 with num2 assign to Xor
print ""2""
print num1, "" "", num2 and a new line
declare integer main ( ), integer a assign to  1, 2, 3  ; declare integer array a size   assign to  1, 2, 3
create integer n with n assign to sizeof ( a ) / sizeof ( a array of 0   )
insert_element ( a, n )
","Count of distinct possible pairs such that the element from A is greater than the element from B 
 C ++ Program to count number of distinct pairs possible from the two arrays such that element selected from one array is always greater than the one selected from the other array ; Function to return the count of pairs ; Driver code
",0
18,"if a is equal to c, print Yes
else print No
declare integer main ( ), integers a assign to 2, b assign to 0, c assign to 2
checkSolution ( a, b, c )
return 0
","Check if roots of a Quadratic Equation are reciprocal of each other or not 
 C ++ program to check if roots of a Quadratic Equation are reciprocal of each other or not ; Function to check if the roots of a quadratic equation are reciprocal of each other or not ; Driver code
",1
19,"if a is equal to c, print Yes
else print No
declare integer main ( ), integers a assign to 2, b assign to 0, c assign to 2
checkSolution ( a, b, c )
return 0
","Pascal 's Triangle 
 C ++ code untill Pascal 's Triangle ; binomialCoeff ; Function to print first n lines of Pascal 's Triangle ; Iterate through every line and print entries in it ; Every line has number of integers equal to line number ; Driver program
",0
20,"create boolean isPerfectSquare ( long double x )  long double sr assign to sqrt ( x )
return ( ( sr - floor ( sr ) ) assign to 0 )
print ""Yes STRNEWLINE "" to the standard output
else print ""No STRNEWLINE ""
declare integer main ( ) and integer N assign to 8
checkSunnyNumber is a new line
return 0
","Sunny Number 
 C ++ program untill the above approach ; Function check whether x is a perfect square or not ; Find floating point value of square root of x . ; If square root is an integer ; Function to check Sunny Number ; Check if ( N + 1 ) is a perfect square or not ; If ( N + 1 ) is not a perfect square ; Driver Code ; Given Number ; Function call
",1
21,"create boolean isPerfectSquare ( long double x )  long double sr assign to sqrt ( x )
return ( ( sr - floor ( sr ) ) assign to 0 )
print ""Yes STRNEWLINE "" to the standard output
else print ""No STRNEWLINE ""
declare integer main ( ) and integer N assign to 8
checkSunnyNumber is a new line
return 0
","Minimum count of numbers required with unit digit X that sums up to N 
 C ++ Program to implement the above approach ; Function to calculate and return the minimum number of times a number with unit digit X needs to be added to get a sum N ; Calculate the number of additions required to get unit digit of N ; If unit digit of N cannot be obtained ; Function to return the minimum number required to represent N ; Stores unit digit of N ; Stores minimum addition of X required to obtain unit digit of N ; If unit digit of N cannot be obtained ; Otherwise ; If N is greater than or equal to ( X * times ) ; Minimum count of numbers that needed to represent N ; Representation not possible ; Driver Code
",0
22,"declare integer countValues ( integer n)  integer answer assign to 0
untill i assign to 2 to n inclusive, k assign to n
untill k >assign to i, if k modulo i is 0, k assign to k / i
else decrement k by i
if k is 1 increment answer
return answer
declare integer main ( ) and integer N assign to 6
print countValues ( N)
return 0
","Count the numbers which can convert N to 1 using given operation 
 C ++ program to count the numbers which can convert N to 1 using the given operation ; Function to count the numbers which can convert N to 1 using the given operation ; Iterate through all the integers ; Check if N can be converted to 1 ; Incrementing the count if it can be converted ; Driver code
",1
23,"declare integer countValues ( integer n)  integer answer assign to 0
untill i assign to 2 to n inclusive, k assign to n
untill k >assign to i, if k modulo i is 0, k assign to k / i
else decrement k by i
if k is 1 increment answer
return answer
declare integer main ( ) and integer N assign to 6
print countValues ( N)
return 0
","Print n smallest elements from given array in their original order 
 CPP untill printing smallest n number in order ; Function to print smallest n numbers ; Make copy of array ; Sort copy array ; For each arr array of i   find whether it is a part of n - smallest with binary search ; Driver program
",0
24,"printKNumbers is a void function with int arguments N and K that returns 0 and K - 1 exclusive, print 1 and "" ""
print N - K + 1
declare integer main ( ), integer N assign to 10 and K assign to 3
printKNumbers ( N, K )
return 0
","Find K numbers with sum equal to N and sum of their squares maximized 
 C ++ program to find K numbers with sum equal to N and the sum of their squares maximized ; Function that prints the required K numbers ; Print 1 , K - 1 times ; Print ( N - K + 1 ) ; Driver Code
",1
25,"printKNumbers is a void function with int arguments N and K that returns 0 and K - 1 exclusive, print 1 and "" ""
print N - K + 1
declare integer main ( ), integer N assign to 10 and K assign to 3
printKNumbers ( N, K )
return 0
","Numbers untillmed by flipping common set bits in two given integers 
 C ++ program to implement the above approach ; Function to flip bits of A and B which are set bits in A and B ; Iterater all possible bits of A and B ; If ith bit is set in both A and B ; Clear i - th bit of A ; Clear i - th bit of B ; Print A and B ; Driver Code
",0
26,"NthSmallest is a new integer function with value K, queue and value Q
create integer x
untill i assign to 1 to 10 exclusive, push ( i ) Q
untill i assign to 1 to K inclusive, set x to Q. front ( )
pop Q
if x modulo 10 is not 0, push ( x * 10 + x modulo 10 - 1 )
push ( x * 10 + x % 10 )
if x modulo 10 is not 9 then push ( x * 10 + x modulo 10 + 1 )
return x
declare integer main ( ) and integer N assign to 16
print NthSmallest ( N) and "" STRNEWLINE ""
return 0
","Print Nth Stepping or Autobiographical number 
 C ++ implementation to find NaTMth stepping natural Number ; Function to find the Nth stepping natural number ; Declare the queue ; Enqueue 1 , 2 , ... , 9 in this order ; Peruntillm K operation on queue ; Get the ith Stepping number ; Peruntillm Dequeue from the Queue ; If x mod 10 is not equal to 0 ; then Enqueue 10 x + ( x mod 10 ) - 1 ; Enqueue 10 x + ( x mod 10 ) ; If x mod 10 is not equal to 9 ; then Enqueue 10 x + ( x mod 10 ) + 1 ; Return the dequeued number of the K - th operation as the Nth stepping number ; Driver Code ; initialise K
",1
27,"NthSmallest is a new integer function with value K, queue and value Q
create integer x
untill i assign to 1 to 10 exclusive, push ( i ) Q
untill i assign to 1 to K inclusive, set x to Q. front ( )
pop Q
if x modulo 10 is not 0, push ( x * 10 + x modulo 10 - 1 )
push ( x * 10 + x % 10 )
if x modulo 10 is not 9 then push ( x * 10 + x modulo 10 + 1 )
return x
declare integer main ( ) and integer N assign to 16
print NthSmallest ( N) and "" STRNEWLINE ""
return 0
","Program to find whether a no is power of two 
 C ++ Program to find whether a no is power of two ; Function to check if x is power of 2 ; Driver program
",0
28,"declare integer nearest ( integer n )  integer prevSquare assign to sqrt (n )
nextSquare assign to integer with nextSquare assign to prevSquare + 1
prevSquare assign to prevSquare * prevSquare
set nextSquare to nextSquare * nextSquare
ans assign to integer with ans assign to ( n - prevSquare ) if nextSquare - n is true, else ( nextSquare - n )
return ans
declare integer main ( ) and integer n assign to 14
print nearest (n ) print newline
set n to 16
print nearest (n ) print newline
n assign to 18
print nearest (n ) print newline
return 0
","Least number to be added to or subtracted from N to make it a Perfect Square 
 C ++ implementation of the approach ; Function to return the Least number ; Get the perfect square beuntille and after N ; Check which is nearest to N ; return the result ; Driver code
",1
29,"declare integer nearest ( integer n )  integer prevSquare assign to sqrt (n )
nextSquare assign to integer with nextSquare assign to prevSquare + 1
prevSquare assign to prevSquare * prevSquare
set nextSquare to nextSquare * nextSquare
ans assign to integer with ans assign to ( n - prevSquare ) if nextSquare - n is true, else ( nextSquare - n )
return ans
declare integer main ( ) and integer n assign to 14
print nearest (n ) print newline
set n to 16
print nearest (n ) print newline
n assign to 18
print nearest (n ) print newline
return 0
","Minimum flips to remove any consecutive 3 0 s or 1 s in given Binary string 
 C ++ program untill the above approach ; Function to find the minimum number of flips to make all three pairs of consecutive characters different ; Stores resultant count of pairs ; Base Case ; Iterate over the range array of 0 , N - 2   ; If the consecutive 3 numbers are the same then increment the count and the counter ; Return the answer ; Driver Code
",0
30,"create void function printValueOfPi with integer N and double pi assign to 2 * acos (0.0)
printf ( "" %. * lf STRNEWLINE "", N, pi )
declare integer main ( ) and integer N assign to 45
printValueOfPi ( N )
return 0
","Value of Pi ( Î ) up to 50 decimal places 
 C ++ program to calculate the value of pi up to n decimal places ; Function that prints the value of pi upto N decimal places ; Find value of pi upto using acos ( ) function ; Print value of pi upto N decimal places ; Driver Code ; Function that prints the value of pi
",1
31,"create void function printValueOfPi with integer N and double pi assign to 2 * acos (0.0)
printf ( "" %. * lf STRNEWLINE "", N, pi )
declare integer main ( ) and integer N assign to 45
printValueOfPi ( N )
return 0
","Anti 
 C ++ program untill the above approach ; Iterative function to reverse digits of num ; Return the reversed num ; Function to calculate sum of reverse all proper divisors ; Final result of summation of divisors ; Find all divisors of num ; If ' i ' is divisor of ' num ' ; If both divisors are same then add it only once else add both ; Add 1 to the result as 1 is also a divisor ; Function to check if N is anti - perfect or not ; Driver Code ; Given Number N ; Function Call
",0
32,"declare decBinary with integer arr array of  , integer n, k assign to log2 (n ) as arguments, returning void
untill n > 0, set arr array of k --   to n modulo 2
divide n by 2
declare binaryDec with integer arr array of  , integer n, integer ans assign to 0
untill i assign to 0 to n exclusive, increment ans by arr array of i    ( n - i - 1 )
return ans
declare getNum with integers n, k as arguments, l assign to log2 (n ) + 1 as arguments
create integer a with a assign to  0 .
declare decBinary with a, n as arguments, returning decBinary
if k is greater than l, return n
if a array of k - 1   assign to ( a array of k - 1   assign to 0 ) if a array of k - 1   assign to 0 else 0
return binaryDec ( a, l )
declare integer main ( ), integers n assign to 56, k assign to 2
print getNum ( n, k )
return 0
","Invert the Kth most significant bit of N 
 C ++ implementation of the approach ; Function to convert decimal number n to its binary representation stored as an array arr array of   ; Function to convert the number represented as a binary array arr array of   into its decimal equivalent ; Function to return the updated integer after flipping the kth bit ; Number of bits in n ; Find the binary representation of n ; The number of bits in n are less than k ; Flip the kth bit ; Return the decimal equivalent of the number ; Driver code
",1
33,"declare decBinary with integer arr array of  , integer n, k assign to log2 (n ) as arguments, returning void
untill n > 0, set arr array of k --   to n modulo 2
divide n by 2
declare binaryDec with integer arr array of  , integer n, integer ans assign to 0
untill i assign to 0 to n exclusive, increment ans by arr array of i    ( n - i - 1 )
return ans
declare getNum with integers n, k as arguments, l assign to log2 (n ) + 1 as arguments
create integer a with a assign to  0 .
declare decBinary with a, n as arguments, returning decBinary
if k is greater than l, return n
if a array of k - 1   assign to ( a array of k - 1   assign to 0 ) if a array of k - 1   assign to 0 else 0
return binaryDec ( a, l )
declare integer main ( ), integers n assign to 56, k assign to 2
print getNum ( n, k )
return 0
","Find a specific pair in Matrix 
 An efficient method to find maximum value of mat array of d   - ma array of a   array of b   such that c > a and d > b ; The function returns maximum value A ( c , d ) - A ( a , b ) over all choices of indexes such that both c > a and d > b . ; stores maximum value ; maxArr array of i   array of j   stores max of elements in matrix from ( i , j ) to ( N - 1 , N - 1 ) ; last element of maxArr will be same 's as of  the input matrix ; preprocess last row Initialize max ; preprocess last column Initialize max ; preprocess rest of the matrix from bottom ; Update maxValue ; set maxArr ( i , j ) ; Driver program to test above function
",0
34,"MOD assign to const with MOD assign to 1e9 + 7
let result be a ll array of size MAX + 1
declare ll fact array of MAX + 1 
preCompute is a void function with fact assign to 1
set result array of0  to 1
untill i assign to 1 to MAX inclusive, set fact array ofi   to ( fact array of i - 1   % MOD ) * i ) % MOD
set result array ofi  to ( result array of i - 1   % MOD ) * fact array of i   % MOD ) % MOD
void function peruntillmQueries (int q array of  , int n) and preCompute ( )
untill i assign to 0 to n exclusive, print result array ofq array ofi   print "" STRNEWLINE ""
declare integer main ( ), integer array q assign to  4, 5
create integer n with n assign to sizeof (q ) / sizeof (q array of 0   )
peruntillmQueries ( q, n )
return 0
","Queries untill the product of first N factorials 
 C ++ implementation of the approach ; Declare result array globally ; Function to precompute the product of factorials upto MAX ; Initialize base condition if n assign to 0 then factorial of 0 is equal to 1 and answer untill n assign to 0 is 1 ; Iterate loop from 1 to MAX ; factorial ( i ) assign to factorial ( i - 1 ) * i ; Result untill current n is equal to result array of i - 1   multiplied by the factorial of i ; Function to peruntillm the queries ; Precomputing the result till MAX ; Peruntillm queries ; Driver code
",1
35,"MOD assign to const with MOD assign to 1e9 + 7
let result be a ll array of size MAX + 1
declare ll fact array of MAX + 1 
preCompute is a void function with fact assign to 1
set result array of0  to 1
untill i assign to 1 to MAX inclusive, set fact array ofi   to ( fact array of i - 1   % MOD ) * i ) % MOD
set result array ofi  to ( result array of i - 1   % MOD ) * fact array of i   % MOD ) % MOD
void function peruntillmQueries (int q array of  , int n) and preCompute ( )
untill i assign to 0 to n exclusive, print result array ofq array ofi   print "" STRNEWLINE ""
declare integer main ( ), integer array q assign to  4, 5
create integer n with n assign to sizeof (q ) / sizeof (q array of 0   )
peruntillmQueries ( q, n )
return 0
","Find all elements in array which have at 
 Sorting based C ++ program to find all elements in array which have atleast two greater elements itself . ; Driver Code
",0
