,Pseudocode,Description,Label
14,"declare integer func ( integer arr [ ], integer n )  double ans = 0
create integer maxx with maxx = 0
create double freq [ 100005] =  0  ;
create integer temp
for i = 0 to n exclusive, temp = arr [ i ]
increment freq [ temp]
set maxx to max ( maxx, temp )
for i = 1 to maxx inclusive, increment freq [ i ] by freq [ i - 1 ]
for i = 1 to maxx inclusive, if freq [ i ] )  i = double i
create double j
set value to 0
cur = double with cur = ceil ( 0.5 * i ) - 1.0
for j = 1.5 to j, val = min ( maxx, ( int ) ( ceil ( i * j ) - 1.0 ) )
create integers times, con with times = ( freq [ i ] - freq [ i - 1 ] ) and con = j - 0.5
increment ans by times * con * ( freq [ ( int ) val ] - freq [ ( int ) cur ] )
set cur to val
if val is maxx, break loop
return ( ll ) ans
declare integer main ( ), integer arr [ ] =  1, 2, 3  ;
create integer n with n = sizeof ( arr ) / sizeof ( arr [ 0 ] )
print func ( arr, n ) and a new line
return 0
","Sum of division of the possible pairs for the given Array | C ++ implementation to compute the sum of division of all the possible pairs for the given array ; Function to compute the sum ; counting frequency of each term and finding maximum among it ; Making cumulative frequency ; Taking the ceil value ; nos . in [ ( n - 0.5 ) X , ( n + 0.5 ) X ) range will add n to the ans ; Return the final result ; Driver code
",1
15,"declare integer func ( integer arr [ ], integer n )  double ans = 0
create integer maxx with maxx = 0
create double freq [ 100005] =  0  ;
create integer temp
for i = 0 to n exclusive, temp = arr [ i ]
increment freq [ temp]
set maxx to max ( maxx, temp )
for i = 1 to maxx inclusive, increment freq [ i ] by freq [ i - 1 ]
for i = 1 to maxx inclusive, if freq [ i ] )  i = double i
create double j
set value to 0
cur = double with cur = ceil ( 0.5 * i ) - 1.0
for j = 1.5 to j, val = min ( maxx, ( int ) ( ceil ( i * j ) - 1.0 ) )
create integers times, con with times = ( freq [ i ] - freq [ i - 1 ] ) and con = j - 0.5
increment ans by times * con * ( freq [ ( int ) val ] - freq [ ( int ) cur ] )
set cur to val
if val is maxx, break loop
return ( ll ) ans
declare integer main ( ), integer arr [ ] =  1, 2, 3  ;
create integer n with n = sizeof ( arr ) / sizeof ( arr [ 0 ] )
print func ( arr, n ) and a new line
return 0
","Cutting a Rod | DP | A Naive recursive solution for Rod cutting problem ; A utility function to get the maximum of two integers ; Returns the best obtainable price for a rod of length n and price [ ] as prices of different pieces ; Recursively cut the rod in different pieces and compare different configurations ; Driver program to test above functions
",0
16,"declare insert_element with integers a [ ] and n, set Xor to 0
Sum = integer with Sum = 0
for i = 0 to n exclusive, Xor = a [ i ]
add a [ i ] to Sum
if Sum is 2 * Xor print ""0"" print newline
return
if Xor is 0, print ""1"" print newline
print Sum
return
num1 = integer with num1 = Sum + Xor
create integer num2 with num2 = Xor
print ""2""
print num1, "" "", num2 and a new line
declare integer main ( ), integer a =  1, 2, 3  ; declare integer array a size ] =  1, 2, 3
create integer n with n = sizeof ( a ) / sizeof ( a [ 0 ] )
insert_element ( a, n )
","Count of elements to be inserted to make Array sum twice the XOR of Array | C ++ program to find the count of elements to be inserted to make Array sum twice the XOR of Array ; Function to find the minimum number of elements that need to be inserted such that the sum of the elements of the array is twice the XOR of the array ; Variable to store the Xor of all the elements ; Variable to store the sum of all elements ; Loop to find the Xor and the sum of the array ; If sum = 2 * Xor ; No need to insert more elements ; We insert one more element which is Sum ; We insert two more elements Sum + Xor and Xor . ; Print the number of elements inserted in the array ; Print the elements that are inserted in the array ; Driver code
",1
17,"declare insert_element with integers a [ ] and n, set Xor to 0
Sum = integer with Sum = 0
for i = 0 to n exclusive, Xor = a [ i ]
add a [ i ] to Sum
if Sum is 2 * Xor print ""0"" print newline
return
if Xor is 0, print ""1"" print newline
print Sum
return
num1 = integer with num1 = Sum + Xor
create integer num2 with num2 = Xor
print ""2""
print num1, "" "", num2 and a new line
declare integer main ( ), integer a =  1, 2, 3  ; declare integer array a size ] =  1, 2, 3
create integer n with n = sizeof ( a ) / sizeof ( a [ 0 ] )
insert_element ( a, n )
","Count of distinct possible pairs such that the element from A is greater than the element from B | C ++ Program to count number of distinct pairs possible from the two arrays such that element selected from one array is always greater than the one selected from the other array ; Function to return the count of pairs ; Driver code
",0
18,"if a is equal to c, print Yes
else print No
declare integer main ( ), integers a = 2, b = 0, c = 2
checkSolution ( a, b, c )
return 0
","Check if roots of a Quadratic Equation are reciprocal of each other or not | C ++ program to check if roots of a Quadratic Equation are reciprocal of each other or not ; Function to check if the roots of a quadratic equation are reciprocal of each other or not ; Driver code
",1
19,"if a is equal to c, print Yes
else print No
declare integer main ( ), integers a = 2, b = 0, c = 2
checkSolution ( a, b, c )
return 0
","Pascal 's Triangle | C ++ code for Pascal 's Triangle ; binomialCoeff ; Function to print first n lines of Pascal 's Triangle ; Iterate through every line and print entries in it ; Every line has number of integers equal to line number ; Driver program
",0
20,"create boolean isPerfectSquare ( long double x )  long double sr = sqrt ( x )
return ( ( sr - floor ( sr ) ) = 0 )
print ""Yes STRNEWLINE "" to the standard output
else print ""No STRNEWLINE ""
declare integer main ( ) and integer N = 8
checkSunnyNumber is a new line
return 0
","Sunny Number | C ++ program for the above approach ; Function check whether x is a perfect square or not ; Find floating point value of square root of x . ; If square root is an integer ; Function to check Sunny Number ; Check if ( N + 1 ) is a perfect square or not ; If ( N + 1 ) is not a perfect square ; Driver Code ; Given Number ; Function call
",1
21,"create boolean isPerfectSquare ( long double x )  long double sr = sqrt ( x )
return ( ( sr - floor ( sr ) ) = 0 )
print ""Yes STRNEWLINE "" to the standard output
else print ""No STRNEWLINE ""
declare integer main ( ) and integer N = 8
checkSunnyNumber is a new line
return 0
","Minimum count of numbers required with unit digit X that sums up to N | C ++ Program to implement the above approach ; Function to calculate and return the minimum number of times a number with unit digit X needs to be added to get a sum N ; Calculate the number of additions required to get unit digit of N ; If unit digit of N cannot be obtained ; Function to return the minimum number required to represent N ; Stores unit digit of N ; Stores minimum addition of X required to obtain unit digit of N ; If unit digit of N cannot be obtained ; Otherwise ; If N is greater than or equal to ( X * times ) ; Minimum count of numbers that needed to represent N ; Representation not possible ; Driver Code
",0
22,"declare integer countValues ( integer n)  integer answer = 0
for i = 2 to n inclusive, k = n
while k >= i, if k modulo i is 0, k = k / i
else decrement k by i
if k is 1 increment answer
return answer
declare integer main ( ) and integer N = 6
print countValues ( N)
return 0
","Count the numbers which can convert N to 1 using given operation | C ++ program to count the numbers which can convert N to 1 using the given operation ; Function to count the numbers which can convert N to 1 using the given operation ; Iterate through all the integers ; Check if N can be converted to 1 ; Incrementing the count if it can be converted ; Driver code
",1
23,"declare integer countValues ( integer n)  integer answer = 0
for i = 2 to n inclusive, k = n
while k >= i, if k modulo i is 0, k = k / i
else decrement k by i
if k is 1 increment answer
return answer
declare integer main ( ) and integer N = 6
print countValues ( N)
return 0
","Print n smallest elements from given array in their original order | CPP for printing smallest n number in order ; Function to print smallest n numbers ; Make copy of array ; Sort copy array ; For each arr [ i ] find whether it is a part of n - smallest with binary search ; Driver program
",0
24,"printKNumbers is a void function with int arguments N and K that returns 0 and K - 1 exclusive, print 1 and "" ""
print N - K + 1
declare integer main ( ), integer N = 10 and K = 3
printKNumbers ( N, K )
return 0
","Find K numbers with sum equal to N and sum of their squares maximized | C ++ program to find K numbers with sum equal to N and the sum of their squares maximized ; Function that prints the required K numbers ; Print 1 , K - 1 times ; Print ( N - K + 1 ) ; Driver Code
",1
25,"printKNumbers is a void function with int arguments N and K that returns 0 and K - 1 exclusive, print 1 and "" ""
print N - K + 1
declare integer main ( ), integer N = 10 and K = 3
printKNumbers ( N, K )
return 0
","Numbers formed by flipping common set bits in two given integers | C ++ program to implement the above approach ; Function to flip bits of A and B which are set bits in A and B ; Iterater all possible bits of A and B ; If ith bit is set in both A and B ; Clear i - th bit of A ; Clear i - th bit of B ; Print A and B ; Driver Code
",0
26,"NthSmallest is a new integer function with value K, queue and value Q
create integer x
for i = 1 to 10 exclusive, push ( i ) Q
for i = 1 to K inclusive, set x to Q. front ( )
pop Q
if x modulo 10 is not 0, push ( x * 10 + x modulo 10 - 1 )
push ( x * 10 + x % 10 )
if x modulo 10 is not 9 then push ( x * 10 + x modulo 10 + 1 )
return x
declare integer main ( ) and integer N = 16
print NthSmallest ( N) and "" STRNEWLINE ""
return 0
","Print Nth Stepping or Autobiographical number | C ++ implementation to find NaTMth stepping natural Number ; Function to find the Nth stepping natural number ; Declare the queue ; Enqueue 1 , 2 , ... , 9 in this order ; Perform K operation on queue ; Get the ith Stepping number ; Perform Dequeue from the Queue ; If x mod 10 is not equal to 0 ; then Enqueue 10 x + ( x mod 10 ) - 1 ; Enqueue 10 x + ( x mod 10 ) ; If x mod 10 is not equal to 9 ; then Enqueue 10 x + ( x mod 10 ) + 1 ; Return the dequeued number of the K - th operation as the Nth stepping number ; Driver Code ; initialise K
",1
27,"NthSmallest is a new integer function with value K, queue and value Q
create integer x
for i = 1 to 10 exclusive, push ( i ) Q
for i = 1 to K inclusive, set x to Q. front ( )
pop Q
if x modulo 10 is not 0, push ( x * 10 + x modulo 10 - 1 )
push ( x * 10 + x % 10 )
if x modulo 10 is not 9 then push ( x * 10 + x modulo 10 + 1 )
return x
declare integer main ( ) and integer N = 16
print NthSmallest ( N) and "" STRNEWLINE ""
return 0
","Program to find whether a no is power of two | C ++ Program to find whether a no is power of two ; Function to check if x is power of 2 ; Driver program
",0
28,"declare integer nearest ( integer n )  integer prevSquare = sqrt (n )
nextSquare = integer with nextSquare = prevSquare + 1
prevSquare = prevSquare * prevSquare
set nextSquare to nextSquare * nextSquare
ans = integer with ans = ( n - prevSquare ) if nextSquare - n is true, else ( nextSquare - n )
return ans
declare integer main ( ) and integer n = 14
print nearest (n ) print newline
set n to 16
print nearest (n ) print newline
n = 18
print nearest (n ) print newline
return 0
","Least number to be added to or subtracted from N to make it a Perfect Square | C ++ implementation of the approach ; Function to return the Least number ; Get the perfect square before and after N ; Check which is nearest to N ; return the result ; Driver code
",1
29,"declare integer nearest ( integer n )  integer prevSquare = sqrt (n )
nextSquare = integer with nextSquare = prevSquare + 1
prevSquare = prevSquare * prevSquare
set nextSquare to nextSquare * nextSquare
ans = integer with ans = ( n - prevSquare ) if nextSquare - n is true, else ( nextSquare - n )
return ans
declare integer main ( ) and integer n = 14
print nearest (n ) print newline
set n to 16
print nearest (n ) print newline
n = 18
print nearest (n ) print newline
return 0
","Minimum flips to remove any consecutive 3 0 s or 1 s in given Binary string | C ++ program for the above approach ; Function to find the minimum number of flips to make all three pairs of consecutive characters different ; Stores resultant count of pairs ; Base Case ; Iterate over the range [ 0 , N - 2 ] ; If the consecutive 3 numbers are the same then increment the count and the counter ; Return the answer ; Driver Code
",0
30,"create void function printValueOfPi with integer N and double pi = 2 * acos (0.0)
printf ( "" %. * lf STRNEWLINE "", N, pi )
declare integer main ( ) and integer N = 45
printValueOfPi ( N )
return 0
","Value of Pi ( Î ) up to 50 decimal places | C ++ program to calculate the value of pi up to n decimal places ; Function that prints the value of pi upto N decimal places ; Find value of pi upto using acos ( ) function ; Print value of pi upto N decimal places ; Driver Code ; Function that prints the value of pi
",1
31,"create void function printValueOfPi with integer N and double pi = 2 * acos (0.0)
printf ( "" %. * lf STRNEWLINE "", N, pi )
declare integer main ( ) and integer N = 45
printValueOfPi ( N )
return 0
","Anti | C ++ program for the above approach ; Iterative function to reverse digits of num ; Return the reversed num ; Function to calculate sum of reverse all proper divisors ; Final result of summation of divisors ; Find all divisors of num ; If ' i ' is divisor of ' num ' ; If both divisors are same then add it only once else add both ; Add 1 to the result as 1 is also a divisor ; Function to check if N is anti - perfect or not ; Driver Code ; Given Number N ; Function Call
",0
32,"declare decBinary with integer arr [ ], integer n, k = log2 (n ) as arguments, returning void
while n > 0, set arr [ k -- ] to n modulo 2
divide n by 2
declare binaryDec with integer arr [ ], integer n, integer ans = 0
for i = 0 to n exclusive, increment ans by arr [ i ]  ( n - i - 1 )
return ans
declare getNum with integers n, k as arguments, l = log2 (n ) + 1 as arguments
create integer a with a =  0 .
declare decBinary with a, n as arguments, returning decBinary
if k is greater than l, return n
if a [ k - 1 ] = ( a [ k - 1 ] = 0 ) if a [ k - 1 ] = 0 else 0
return binaryDec ( a, l )
declare integer main ( ), integers n = 56, k = 2
print getNum ( n, k )
return 0
","Invert the Kth most significant bit of N | C ++ implementation of the approach ; Function to convert decimal number n to its binary representation stored as an array arr [ ] ; Function to convert the number represented as a binary array arr [ ] into its decimal equivalent ; Function to return the updated integer after flipping the kth bit ; Number of bits in n ; Find the binary representation of n ; The number of bits in n are less than k ; Flip the kth bit ; Return the decimal equivalent of the number ; Driver code
",1
33,"declare decBinary with integer arr [ ], integer n, k = log2 (n ) as arguments, returning void
while n > 0, set arr [ k -- ] to n modulo 2
divide n by 2
declare binaryDec with integer arr [ ], integer n, integer ans = 0
for i = 0 to n exclusive, increment ans by arr [ i ]  ( n - i - 1 )
return ans
declare getNum with integers n, k as arguments, l = log2 (n ) + 1 as arguments
create integer a with a =  0 .
declare decBinary with a, n as arguments, returning decBinary
if k is greater than l, return n
if a [ k - 1 ] = ( a [ k - 1 ] = 0 ) if a [ k - 1 ] = 0 else 0
return binaryDec ( a, l )
declare integer main ( ), integers n = 56, k = 2
print getNum ( n, k )
return 0
","Find a specific pair in Matrix | An efficient method to find maximum value of mat [ d ] - ma [ a ] [ b ] such that c > a and d > b ; The function returns maximum value A ( c , d ) - A ( a , b ) over all choices of indexes such that both c > a and d > b . ; stores maximum value ; maxArr [ i ] [ j ] stores max of elements in matrix from ( i , j ) to ( N - 1 , N - 1 ) ; last element of maxArr will be same 's as of  the input matrix ; preprocess last row Initialize max ; preprocess last column Initialize max ; preprocess rest of the matrix from bottom ; Update maxValue ; set maxArr ( i , j ) ; Driver program to test above function
",0
34,"MOD = const with MOD = 1e9 + 7
let result be a ll array of size MAX + 1
declare ll fact [ MAX + 1]
preCompute is a void function with fact = 1
set result [0] to 1
for i = 1 to MAX inclusive, set fact [i ] to ( fact [ i - 1 ] % MOD ) * i ) % MOD
set result [i] to ( result [ i - 1 ] % MOD ) * fact [ i ] % MOD ) % MOD
void function performQueries (int q [ ], int n) and preCompute ( )
for i = 0 to n exclusive, print result [q [i]] print "" STRNEWLINE ""
declare integer main ( ), integer array q =  4, 5
create integer n with n = sizeof (q ) / sizeof (q [ 0 ] )
performQueries ( q, n )
return 0
","Queries for the product of first N factorials | C ++ implementation of the approach ; Declare result array globally ; Function to precompute the product of factorials upto MAX ; Initialize base condition if n = 0 then factorial of 0 is equal to 1 and answer for n = 0 is 1 ; Iterate loop from 1 to MAX ; factorial ( i ) = factorial ( i - 1 ) * i ; Result for current n is equal to result [ i - 1 ] multiplied by the factorial of i ; Function to perform the queries ; Precomputing the result till MAX ; Perform queries ; Driver code
",1
35,"MOD = const with MOD = 1e9 + 7
let result be a ll array of size MAX + 1
declare ll fact [ MAX + 1]
preCompute is a void function with fact = 1
set result [0] to 1
for i = 1 to MAX inclusive, set fact [i ] to ( fact [ i - 1 ] % MOD ) * i ) % MOD
set result [i] to ( result [ i - 1 ] % MOD ) * fact [ i ] % MOD ) % MOD
void function performQueries (int q [ ], int n) and preCompute ( )
for i = 0 to n exclusive, print result [q [i]] print "" STRNEWLINE ""
declare integer main ( ), integer array q =  4, 5
create integer n with n = sizeof (q ) / sizeof (q [ 0 ] )
performQueries ( q, n )
return 0
","Find all elements in array which have at | Sorting based C ++ program to find all elements in array which have atleast two greater elements itself . ; Driver Code
",0
36,"gcd = integer if a is equal to 0, return b
return gcd ( b modulo a, a )
divTermCount is a new long function with long arguments a, b, c, num, - ( num / ( ( a * b ) / gcd ( a, b ) ) ) ) - ( num / ( ( ( ( a * b ) / gcd ( a, b ) ) ) ) ) - ( num / ( ( (
declare findNthTerm with integers a, b, c, n, low, high = LONG_MAX, mid as arguments, returning integer
while low  high, mid = low + ( high - low ) / 2
if divTermCount ( a, b, c, mid )  n, low = mid + 1
else high = mid
return low
declare integer main ( ), long a = 2, b = 3, c = 5, n = 100
print findNthTerm ( a, b, c, n )
return 0
","Nth number in a set of multiples of A , B or C | C ++ program to find nth term divisible by a , b or c ; Function to return gcd of a and b ; Function to return the count of integers from the range [ 1 , num ] which are divisible by either a , b or c ; Calculate the number of terms divisible by a , b and c then remove the terms which are divisible by both ( a , b ) or ( b , c ) or ( c , a ) and then add the numbers which are divisible by a , b and c ; Function for binary search to find the nth term divisible by a , b or c ; Set low to 1 and high to LONG_MAX ; If the current term is less than n then we need to increase low to mid + 1 ; If current term is greater than equal to n then high = mid ; Driver code
",1
